tstidn,expidn,unique,agepar,region,expsit,gender,poccup,religr,politr,pedlev,fedlev,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crt1ty,crt2ty,crt3ty,crt4ty,crt5ty,crt6ty,crt7ty,crt1co,crt2co,crt3co,crt4co,crt5co,crt6co,crt7co,crtsco,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,num1nu,num2nu,num3nu,num1rf,num2rf,num3rf,num1di,num2di,num3di,relitx,politx,crt1tx,crt2tx,crt3tx,crt4tx,crt5tx,crt6tx,crt7tx,num1tx,num2tx,num3tx,expidt,timest
199,201,1 UN,20,1,3 AR,2 MA,1 ST,1 CA,5 NO,4 EU,4 EU,2,1,1,2,3,2,2,3,3,3,4,4,4,3,4,3,2,4,2,4,2,1,1,1,1,1,1,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1,1,0,6,1,3,1,4,4,3,4,3,1,1,4,2,5,3,1,5,226000,950,NR,255195,910,155,29195,40,-88,CATOLICA ,NI DE IZQUIERDA NI DERECHA ,5 PESOS ,5 MINUTOS ,47 HORAS ,EN SEGUNDO LUGAR ,8,EMILIO ,3 METROS ,226 MIL ,950,NOSE,00201,31/10/2023 12:32:57
200,202,1 UN,22,15,3 AR,2 MA,1 ST,1 CA,5 NO,4 EU,2 EM,3,3,4,4,4,3,3,3,4,2,4,3,4,3,3,2,1,3,3,2,2,1,1,1,2,1,1,0,0,0,1,0,3,3,3,4,1,3,1,0,0,0,1,0,0,0,1,3,4,,3,3,3,3,3,3,3,3,2,4,4,3,4,200000,880,23,255195,910,155,55195,30,132,catolica,ninguna,10,100,24,segundo lugar,1,Julio,3 metros cubicos,200000,880,23,00202,31/10/2023 12:43:23
201,203,1 UN,27,15,3 AR,2 MA,1 ST,4 NO,5 NO,4 EU,4 EU,2,1,1,3,3,2,3,2,3,2,1,3,3,3,3,3,2,4,5,4,3,3,1,2,3,3,1,0,0,0,1,0,3,1,3,4,4,4,1,0,0,0,1,1,1,0,3,2,4,2,3,4,2,3,3,2,2,3,1,4,4,2,5,200000,850,200,255195,910,155,55195,60,45,ninguna,ninguna,10,10,24,segundo lugar ,8,emilio,1,200000,850,200,00203,31/10/2023 12:36:45
202,204,1 UN,23,1,3 AR,1 FE,1 ST,5 AG,5 NO,4 EU,3 ET,3,3,1,3,3,2,2,3,3,2,3,4,4,3,3,4,3,3,4,4,4,1,1,2,2,2,1,0,0,0,1,0,1,3,1,3,4,4,1,0,0,0,0,1,1,0,2,3,5,2,3,4,4,3,5,4,4,5,4,5,5,3,5,2800,800,200,255195,910,155,252395,110,45,agnostico,ninguno,50,100 min,"ninguno, ya se expandio por todo el queso",primer lugar,8 ovejas,emilio,9 m3,2800,800 pesos,200,00204,31/10/2023 12:34:46
203,205,1 UN,20,15,3 AR,1 FE,1 ST,3 OT,5 NO,4 EU,4 EU,2,3,3,3,4,3,2,3,4,4,4,3,4,3,4,4,3,5,4,5,5,3,1,2,2,3,2,0,0,0,1,0,3,3,3,3,4,4,1,0,0,0,0,1,1,0,2,4,3,4,2,5,2,4,5,5,5,5,5,4,4,,5,230000,NR,NR,255195,910,155,25195,-88,-88,Creo en que existe un ente espiritualmente superior a nosotros,no tengo orientación política,10 pesos,1 hora y 40 minutos ,24 horas,primer lugar,8 ovejas,Emilio,21 metros cúbicos ,230000,NR,NR,00205,31/10/2023 12:31:13
204,206,1 UN,21,15,3 AR,2 MA,1 ST,2 CR,1 LW,4 EU,4 EU,1,2,3,3,4,3,2,2,3,4,4,4,4,1,4,3,4,5,5,4,5,3,2,1,2,3,1,0,0,0,1,0,3,1,3,4,4,3,1,0,0,0,1,1,0,0,2,2,2,2,3,4,3,4,3,2,5,5,3,4,4,4,5,1000000,900,20,255195,910,155,744805,10,135,Cristiano,Gabriel Boric,10 pesos,20 minutos,24 horas,Segundo lugar,8,Julio,3 metros cúbicos ,1000000,900 pesos aproximadamente,20,00206,31/10/2023 12:21:36
205,207,1 UN,22,15,3 AR,1 FE,1 ST,6 AT,1 LW,2 EM,6 PG,2,1,2,2,3,2,1,2,3,2,4,4,4,4,3,2,1,2,3,5,4,1,1,1,3,2,1,0,0,0,1,0,3,3,3,4,3,4,3,0,0,0,1,0,1,0,2,3,1,1,3,4,1,1,4,3,1,2,1,5,5,4,5,2000000,890,30,255195,910,155,1744805,20,125,Atea,Borich,10 pesos,100 minutos,24 horas,Segundo lugar,7 ovejas,Emilio,27,2 millones,890 pesos,30,00207,31/10/2023 12:25:33
206,208,1 UN,21,15,3 AR,1 FE,1 ST,4 NO,5 NO,2 EM,4 EU,2,1,1,1,2,2,1,2,2,2,3,3,3,2,3,3,2,3,2,4,3,2,1,2,2,2,1,0,0,0,0,1,3,3,3,4,4,4,1,0,0,0,1,1,1,0,3,3,2,2,3,4,4,3,4,3,3,4,3,4,4,2,4,1500000,890,31,255195,910,155,1244805,20,124,NINGUNA,NINGUNA,10 PESOS,1 HORA CON 40 MINUTOS,24 HORAS,EN SEGUNDO LUGAR,8,EMILIO,48,1500000,890,31,00208,31/10/2023 12:46:56
207,209,1 UN,23,15,3 AR,1 FE,1 ST,1 CA,3 RW,4 EU,4 EU,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,1,1,1,1,2,1,1,0,0,0,0,3,3,3,3,4,3,1,0,0,0,0,1,0,0,1,4,4,4,2,4,4,5,4,1,2,2,3,3,2,4,5,200000,800,24,255195,910,155,55195,110,131,CATOLICA,DERECHA,10,100 MINUTOS,24,PRIMER LUGAR,8,JULIO,1.000,200000,800,24,00209,31/10/2023 13:09:35
208,210,1 UN,21,15,3 AR,2 MA,1 ST,3 OT,3 RW,4 EU,4 EU,1,4,1,4,2,4,3,4,4,4,4,4,4,1,3,3,3,3,4,4,5,3,1,1,1,1,1,0,0,0,1,0,3,3,3,4,3,4,1,0,0,0,1,0,1,0,2,1,1,3,4,1,1,3,5,1,1,3,4,1,1,4,3,300000,850,NR,255195,910,155,44805,60,-88,Creyente,Republicano,10,100 minutos,24,segundo,7,Emilio,9,300.000 APROX,850 aprox,no se,00210,31/10/2023 12:58:40
209,211,2 DU,19,1,3 AR,1 FE,1 ST,4 NO,5 NO,2 EM,2 EM,1,1,1,2,1,2,1,3,4,2,1,4,2,4,4,3,4,3,3,4,5,2,1,1,2,1,1,0,0,0,0,0,3,1,1,4,4,4,1,0,0,0,1,1,1,0,3,1,3,1,1,3,4,4,5,1,1,5,1,5,3,5,5,NR,NR,NR,255195,910,155,-88,-88,-88,"No tengo una orientación religiosa, me apoyo mas en el método científicos sus variaciones",No tengo alguna relamente,10,50,"Si ya se expandió en todo el queso,¿ cómo puede expandirse a la mitad?",en segundo lugar,8,Emilio,tres metros cúbicos,Miles,no lo sé,No estoy segura,00211,31/10/2023 13:44:05
210,212,2 DU,25,15,3 AR,1 FE,1 ST,2 CR,1 LW,4 EU,4 EU,3,1,1,4,3,2,1,2,4,4,4,4,4,4,5,3,3,5,2,5,5,1,1,1,3,3,1,0,0,0,1,0,3,1,3,3,4,3,1,0,0,0,0,1,0,0,1,3,1,1,1,4,3,5,2,3,1,1,1,2,4,4,5,NR,900,NR,255195,910,155,-88,10,-88,"Soy de familia evangélica, aún me cuestiono mucho y trato de no pensar en ello porque me provoca malestar. ","Me consideraría una persona socialista, aunque hace tiempo me desencanté con la política y he dejado de prestarle atención. Actualmente, sólo escucho las opiniones de Alberto Mayol en el plano nacional. ",10,50 minutos,24,primer lugar,8,Julio,9,No sé,900,No sé,00211,31/10/2023 17:03:08
211,213,1 UN,27,15,3 AR,1 FE,1 ST,3 OT,1 LW,4 EU,4 EU,4,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,5,5,5,5,5,3,2,2,2,2,4,0,0,0,1,0,1,3,3,4,4,3,1,0,0,0,1,1,0,0,2,5,5,5,5,5,5,5,2,5,5,5,5,5,3,3,5,700000,1100,50,255195,910,155,444805,190,105,"Creo que existe una entidad, como en todas las culturas, pero no es algo absoluto, no creo en las iglesias.","mi orientación es mas ligada  a la izquierda, ya que siento es es el lado que mas me representa a la hora de poner en la balanza la justicia, derechos humanos, derechos de la mujer, libertad de expresión etc.",600,100,24,2,8,julio,1,700000,1000/1200 varia según el dolar ,50,00213,31/10/2023 17:56:44
212,214,1 UN,22,15,3 AR,2 MA,1 ST,6 AT,1 LW,4 EU,3 ET,2,2,2,3,3,3,4,4,4,4,4,4,3,4,3,3,3,4,5,5,5,1,1,1,1,3,2,1,0,0,1,1,1,4,3,3,1,3,1,0,1,0,0,0,0,0,1,3,3,3,3,4,4,3,2,4,4,3,4,5,5,2,5,1000000,934,12,255195,910,155,744805,24,143,"No creo en nada, solo confió en la ciencia y teorías. ",Partido de Izquierda.,El dulce vale 55 pesos.,5 minutos.,24 horas.,Primer lugar.,"Ninguna, porque todas murieron.",Julio.,9 metros cúbicos.,1000000 personas aproximadamente.,934 pesos.,12,00214,31/10/2023 17:55:53
213,215,1 UN,22,15,3 AR,1 FE,1 ST,5 AG,1 LW,4 EU,5 PT,3,2,2,1,2,1,1,3,4,4,2,3,4,4,4,3,1,3,4,3,4,4,1,2,2,2,2,0,0,0,1,0,3,4,3,4,3,4,3,0,1,0,1,0,1,0,3,3,2,3,4,4,4,4,3,3,4,4,3,5,5,4,5,200000,920,32,255195,910,155,55195,10,123,agnostica,izquierda ,10,lo mismo,24,segundo,7,emilio ,27,200000,920,32,00215,31/10/2023 17:53:00
214,216,1 UN,23,15,3 AR,1 FE,1 ST,1 CA,3 RW,4 EU,2 EM,1,1,1,1,9,2,2,2,3,1,3,3,2,3,3,2,3,2,3,3,3,3,1,1,2,2,1,0,0,0,1,0,3,3,3,3,4,3,1,0,0,0,0,1,0,0,1,3,1,3,3,3,3,2,1,4,2,4,3,4,3,4,5,200000,980,42,255195,910,155,55195,70,113,CATOLICA,DERECHA,10,100,24,1,8,JULIO,3,200000,980,42,00216,31/10/2023 17:53:22
215,217,1 UN,24,15,3 AR,1 FE,1 ST,3 OT,5 NO,4 EU,4 EU,2,2,2,3,2,2,3,3,4,3,3,4,4,3,3,3,2,4,3,5,4,2,1,1,2,1,2,0,0,0,1,0,3,1,3,4,4,4,3,0,0,0,1,1,1,0,3,3,3,3,4,4,3,3,3,3,3,5,4,5,4,3,5,100000,900,48,255195,910,155,155195,10,107,"creyente de un ente poderoso, pero no necesariamente se llama dios.",no tengo mucha informacion sobre la politica,10,1MINUTO,24HORAS,SEGUNDO LUGAR,8,EMILIO,27,100000,900 PESOS APROX.,48,00217,31/10/2023 17:51:43
216,218,1 UN,21,15,3 AR,2 MA,1 ST,6 AT,1 LW,4 EU,4 EU,4,2,2,3,3,4,4,4,4,1,4,4,4,4,5,4,4,5,5,5,5,1,1,1,3,3,1,0,0,0,0,0,3,3,3,4,4,4,3,0,0,0,1,1,1,0,3,3,4,3,5,4,4,3,1,2,4,4,5,5,5,3,5,120000,750,52,255195,910,155,135195,160,103,ateo ,"yo me considero de izquierda pero no acato todos sus ideales o pensamientos, a la par que considero algunas ideas de derecha",10 pesos,100 minutos,24 horas,segundo lugar ,8 ovejas,Emilio,27 metros cubicos,120000 personas,750 pesos,52,00218,31/10/2023 17:53:41
217,219,1 UN,22,15,3 AR,1 FE,1 ST,5 AG,1 LW,4 EU,3 ET,2,2,1,2,2,2,3,2,4,3,2,4,4,4,3,2,3,4,2,4,4,2,1,1,1,2,1,0,0,0,1,0,4,4,1,4,4,4,3,1,1,0,1,1,1,0,5,2,5,3,2,1,2,2,3,3,3,3,3,4,5,1,5,NR,940,12,255195,910,155,-88,30,143,agnostico,plaza dignidad,5 pesos,5 minutos,1 hora mas,segundo,8 ovejas ,emilio,27,no lo se,940 pesos,12,00219,31/10/2023 17:59:34
218,220,1 UN,22,15,3 AR,1 FE,1 ST,8 NR,8 NR,4 EU,3 ET,2,2,3,2,2,2,1,3,2,2,3,3,3,3,3,3,3,4,3,2,2,1,1,1,1,2,1,0,0,0,1,0,3,3,1,4,4,4,1,0,0,0,1,1,1,0,3,3,5,3,1,4,3,3,2,4,1,4,4,4,3,4,5,10000,900,NR,255195,910,155,245195,10,-88,NR,NR,10,100,6,SEGUNDO,8,EMILIO,21,10000,900,NR,00220,31/10/2023 17:58:10
219,221,1 UN,19,15,3 AR,1 FE,1 ST,2 CR,5 NO,4 EU,2 EM,3,3,1,1,3,2,1,2,4,4,4,4,4,4,3,4,2,3,4,3,2,2,2,1,2,3,2,0,0,0,1,0,3,4,1,4,3,4,3,0,1,0,1,0,1,0,3,4,2,4,5,4,3,4,1,3,1,1,1,5,4,4,5,1000000,800,12,255195,910,155,744805,110,143,"adeventista, creo en guardar el sabado y creo en cristo.",no soy muy apegada a la politica,10,5 minutos,12 horas,segundo lugar,7,emilio,27,1000000,800,12,00221,31/10/2023 18:01:29
220,222,1 UN,18,15,3 AR,2 MA,1 ST,1 CA,8 NR,4 EU,6 PG,2,2,2,2,2,3,3,2,3,2,3,4,3,3,2,3,2,3,3,2,4,2,1,1,2,2,1,0,0,0,1,0,3,3,3,4,1,4,3,0,0,0,1,0,1,0,2,3,4,3,4,3,2,2,2,2,3,3,3,5,4,3,4,700000,900,15,255195,910,155,444805,10,140,catolica,aun me falta informarme para tomar una orientación politica,10,100,24,2do,ninguna,Emilio,27,700000,900,15,00222,31/10/2023 17:57:08
221,223,1 UN,23,1,3 AR,1 FE,1 ST,4 NO,5 NO,4 EU,4 EU,1,2,2,2,3,2,3,2,3,3,2,4,3,3,3,3,2,2,3,3,2,2,3,1,2,2,2,0,0,0,1,0,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,5,1,4,4,5,3,4,3,3,4,2,2,5,4,2,4,295679987,500,6,255195,910,155,295424792,410,149,no tengo orientacion religiosa,no tengo orientacion politica,no se sabe,1,20 minutos,primer lugar,1,julio,3 de largo,295679987,500 pesos,6,00223,31/10/2023 18:01:26
222,224,1 UN,25,15,3 AR,1 FE,1 ST,1 CA,5 NO,4 EU,3 ET,3,2,1,2,3,2,2,2,3,1,4,4,4,2,3,3,3,5,4,5,5,3,2,2,2,3,3,0,0,0,0,1,1,1,1,3,4,3,1,0,0,0,0,1,0,0,1,4,4,3,2,4,4,4,3,4,4,4,4,4,4,2,5,2500000,896,27,255195,910,155,2244805,14,128,Catolica,ninguna,9,1 minuto,72 horas,en el primero,8,julio,3,2500000,896,27,00224,31/10/2023 18:19:38
223,225,1 UN,28,15,3 AR,1 FE,4 TC,4 NO,5 NO,4 EU,3 ET,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,1,1,1,2,3,1,1,0,0,0,0,3,3,3,4,4,3,3,0,0,0,1,1,0,0,2,3,5,1,3,4,5,4,5,3,3,4,5,4,5,5,5,800000,800,4,255195,910,155,544805,110,151,Ninguna ,Ninguna,10 pesos ,100 minutos ,24 horas,segundo lugar,8 ovejas,Julio,27 metros cubicos,800.000 aproximadamente,800 pesos ,4,00225,31/10/2023 18:32:31
224,226,1 UN,24,15,3 AR,1 FE,1 ST,2 CR,1 LW,4 EU,4 EU,1,1,1,3,4,2,1,1,3,2,4,4,4,3,2,2,2,3,4,3,2,2,1,2,3,3,1,0,0,0,1,0,3,4,3,3,4,4,1,0,1,0,0,1,1,0,3,3,1,1,2,5,1,3,1,1,1,5,1,1,1,3,5,300000,800,50,255195,910,155,44805,110,105,Adventista del Séptimo Día,"No tengo como tal, pero diría que de izquierda.",10 pesos,5 minutos,24 horas,primer lugar,8,Emilio,3 metros,300000,800 pesos,50,00226,31/10/2023 18:29:30
225,227,1 UN,26,15,3 AR,2 MA,1 ST,1 CA,5 NO,4 EU,4 EU,2,2,1,2,3,2,2,1,3,3,3,4,3,3,3,2,2,4,3,3,3,2,1,2,1,2,1,0,0,0,1,0,3,3,3,4,4,4,3,0,0,0,1,1,1,0,3,3,3,2,2,4,3,4,4,3,4,5,5,4,4,4,4,280000,830,64,255195,899,155,24805,69,91,CATOLICA,NINGUNO,10,100,24,SEGUNDO,8,EMILIO,27,280000,830,64,00227,2/11/2023 10:30:01
226,228,1 UN,20,15,3 AR,1 FE,1 ST,4 NO,8 NR,4 EU,2 EM,2,1,2,2,3,2,2,2,3,3,3,3,3,1,4,3,3,5,4,5,3,3,1,3,2,2,1,0,0,0,1,0,2,2,2,3,4,3,1,0,0,0,0,1,0,0,1,2,4,2,3,3,3,3,2,2,4,3,2,4,3,3,5,NR,NR,NR,255195,899,155,-88,-88,-88,No me considero parte de ningún tipo de religion y tampoco estoy de acuerdo con las iglesias  ,NR,NR,NR,NR,PRIMER LUGAR,8,JULIO,NR,NR,NR,NR,00228,2/11/2023 11:13:58
227,229,1 UN,26,15,3 AR,1 FE,1 ST,2 CR,5 NO,4 EU,4 EU,2,3,1,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,5,4,4,3,1,2,3,3,2,0,0,0,1,0,3,3,3,4,4,4,3,0,0,0,1,1,1,0,3,3,5,3,1,5,5,3,3,3,4,4,5,5,4,2,5,230000,885,155,255195,899,155,25195,14,0,CRISTIANA,NINGUNA,10,100 MINUTOS,24 HORAS,EN EL SEGUNDO,8,EMILIO,27,230000,885,155,00229,2/11/2023 11:21:19
228,230,1 UN,18,15,3 AR,1 FE,1 ST,6 AT,8 NR,4 EU,4 EU,1,3,1,1,1,1,1,1,3,1,3,4,2,2,3,3,3,4,3,3,3,2,2,2,3,3,2,0,0,0,1,0,1,1,3,4,3,4,1,0,0,0,1,0,1,0,2,2,3,2,4,3,4,3,3,2,2,2,2,2,3,3,4,40000,700,24,255195,899,155,215195,199,131,atea,NR,500,500,24,SEGUNDO LUGAR,7,EMILIO ,9,40000,700,24,00230,2/11/2023 11:11:02
229,231,1 UN,19,15,3 AR,1 FE,1 ST,1 CA,8 NR,4 EU,2 EM,3,2,3,2,3,3,4,2,4,3,4,4,3,3,3,3,4,4,5,3,4,3,1,2,2,4,1,0,0,0,1,0,3,1,3,4,1,4,1,0,0,0,1,0,1,0,2,3,4,3,4,5,5,3,3,3,4,4,5,5,4,4,5,5000,1200,NR,255195,899,155,250195,301,-88,CATOLICA,NR,10 PESOS,1 MINUTO POR COLLAR,24 HORAS ,SEGUNDO LUGAR ,0,EMILIO,NR,5000,1200,NR,00231,2/11/2023 11:14:54
230,232,1 UN,19,15,3 AR,1 FE,1 ST,1 CA,1 LW,4 EU,4 EU,2,3,3,3,1,2,4,3,2,3,4,4,3,4,2,3,4,5,5,4,4,2,1,1,1,2,2,0,0,0,1,0,3,3,2,4,1,4,3,0,0,0,1,0,1,0,2,4,2,2,2,4,3,4,3,4,3,4,3,3,3,3,4,25000000,8,45,255195,899,155,24744805,891,110,catolica ,socialista ,10,100 minutos o 1 hora con 40 min,NR,segundo lugar ,0,emilio,27,25000000,8,45,00232,2/11/2023 11:13:55
231,233,1 UN,20,15,3 AR,1 FE,1 ST,1 CA,5 NO,2 EM,2 EM,2,3,2,3,3,2,3,2,4,3,3,4,3,3,3,3,4,4,4,5,5,2,5,2,2,3,2,0,0,0,0,1,3,3,3,4,4,4,1,0,0,0,1,1,1,0,3,3,4,3,3,3,3,3,3,4,3,3,4,4,4,3,4,NR,1000,6,255195,899,155,-88,101,149,"catolica, pero no creyente de la iglesia, pero si de las imagenes",apolitica,10pesos,100 min ,24h,segundo lugar,8,emilio,3m3,desconozco de esta información ,1000 creo,6 creo,00233,2/11/2023 11:15:48
232,234,1 UN,18,15,3 AR,1 FE,1 ST,1 CA,1 LW,4 EU,5 PT,2,2,1,1,2,1,1,1,4,2,3,3,2,2,3,3,2,4,4,4,3,1,1,1,1,1,1,1,0,0,0,0,4,3,3,4,4,4,1,1,0,0,1,1,1,0,4,3,4,1,2,4,2,3,2,3,4,4,4,5,4,3,5,NR,900,4,255195,899,155,-88,1,151,catolica,boric,5 pesos,1 hora 40min,24 horas,segundo,8,emilio,9,muchas,900 y algo pesos,mas de 4,00234,2/11/2023 11:40:09
233,235,1 UN,19,15,3 AR,1 FE,1 ST,6 AT,1 LW,2 EM,6 PG,4,3,2,2,4,4,3,4,4,2,4,4,4,4,3,1,5,5,3,4,5,1,1,1,2,2,1,0,0,0,0,0,3,1,3,3,4,3,2,0,0,0,0,1,0,0,1,5,5,,1,3,3,5,5,1,4,5,5,5,5,1,5,100000,1000,20,255195,899,155,155195,101,135,ateo,boric,10,3horas,24,1er ,8,julio,nose,100000,1000,20,00235,2/11/2023 11:43:57
234,236,1 UN,23,15,3 AR,1 FE,1 ST,4 NO,1 LW,4 EU,6 PG,3,1,1,1,2,1,2,4,3,2,3,3,4,3,3,2,1,3,2,3,2,1,1,1,2,1,1,0,0,0,1,0,3,4,4,4,4,4,1,0,1,1,1,1,1,0,5,1,1,3,4,2,1,1,1,1,1,3,1,5,5,4,5,200000,850,26,255195,899,155,55195,49,129,No estoy interesada en la religión,Centro izquierda,10,5 minutos,47 horas,Segundo lugar,8,Emilio,3 metros cúbicos,200000,850 pesos,26,00236,2/11/2023 12:10:32
235,237,1 UN,25,15,3 AR,2 MA,1 ST,5 AG,5 NO,4 EU,4 EU,3,2,4,1,3,2,1,2,3,2,4,4,4,4,3,3,4,3,3,4,4,3,1,1,2,1,1,0,0,0,1,0,3,4,4,4,4,4,4,0,1,1,1,1,1,1,6,1,1,1,3,4,4,3,2,1,1,4,1,5,4,4,5,1000000,1000,9,255195,899,155,744805,101,146,Agnostico,No me represento por ninguna postura,10,5 minutos,47 horas,segundo,8,Emilio,0,Aprox 1000000,1000 pesos,9,00237,2/11/2023 12:16:58
236,238,1 UN,27,15,3 AR,3 NB,1 ST,4 NO,1 LW,4 EU,3 ET,1,1,1,4,2,1,1,2,2,3,2,2,3,1,3,2,1,3,2,3,2,1,1,1,1,2,1,0,0,0,1,0,3,3,3,4,3,4,1,0,0,0,1,0,1,0,2,3,3,3,2,3,3,3,3,4,3,3,4,5,5,4,5,270000,790,153,255195,899,155,14805,109,2,ninguna,izquierda( convergencia social),10,100 minutos,24 horas,2,7,Emilio,3,270000,790,153,00238,2/11/2023 12:20:12
237,239,1 UN,20,15,3 AR,1 FE,1 ST,1 CA,3 RW,4 EU,4 EU,1,2,2,3,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,1,0,3,3,3,4,3,3,2,0,0,0,1,0,0,0,1,4,3,4,3,5,5,4,4,5,5,4,4,5,5,4,5,200000,950,70,255195,899,155,55195,51,85,CATOLICA,CENTRO DERECHA,10,1 HORA Y 40 MINUTOS,24HRS,SEGUNDO,7,JULIO,NO SE,200000,1000 O 900 PESOS,70,00239,2/11/2023 12:20:47
238,240,1 UN,23,15,3 AR,2 MA,1 ST,5 AG,3 RW,4 EU,2 EM,2,2,2,4,1,1,2,2,4,4,4,4,4,4,3,2,2,4,1,3,2,1,1,2,2,1,1,0,0,0,1,0,4,4,4,4,4,4,4,1,1,1,1,1,1,1,7,1,1,1,2,1,2,3,1,1,1,1,1,5,4,1,5,500000,850,24,255195,899,155,244805,49,131,AGNÓSTICO,CENTRO DERECHA,5,5 MINUTO,47,SEGUNDO,8,EMILIO,0,500000,850,24,00240,2/11/2023 13:22:58
239,241,1 UN,20,15,3 AR,2 MA,1 ST,2 CR,2 CE,4 EU,3 ET,2,2,3,1,3,3,3,4,4,2,4,4,3,2,3,3,4,4,4,5,4,4,1,1,2,3,1,0,0,0,1,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,4,2,3,5,5,4,4,1,3,5,3,5,5,4,5,400000,940,15,255195,899,155,144805,41,140,Soy cristiano me gusta creer en algo ya que siempre hay que tener en donde creer osino uno pierde el rumbo de la vida ,soy totalmente neutral sigo mi propia opinion ya que no me interesa lo que es debatir solamente lo que es justo para mi ,10 pesos,1 hora con 40 minutos ,24 horas,primer lugar,7 ovejas,julio,27 metros cúbicos ,400.000 personas,940 pesos,15,00241,2/11/2023 13:17:32
240,242,1 UN,20,15,3 AR,3 NB,1 ST,4 NO,8 NR,2 EM,4 EU,2,2,1,3,2,3,3,4,4,2,4,4,4,4,3,3,3,4,5,4,5,1,1,1,2,2,3,0,0,0,1,0,3,1,3,1,4,3,1,0,0,0,0,1,0,0,1,1,4,3,2,4,4,3,3,4,3,4,3,5,4,2,5,10000,800,NR,255195,899,155,245195,99,-88,no tengo orientación religiosa ,NR,10,hora y media,24 horas,en el tercer lugar,8 ovejas quedaron vivas,julio,NR,10.000 habitantes ,800,NR,00242,2/11/2023 13:21:37
241,243,1 UN,21,15,3 AR,1 FE,1 ST,1 CA,5 NO,2 EM,3 ET,2,2,1,2,4,3,3,2,4,2,4,4,4,3,3,3,2,2,3,2,2,1,2,1,2,2,1,0,0,0,1,0,3,1,3,3,3,3,1,0,0,0,0,0,0,0,0,3,4,3,2,3,4,3,3,4,5,3,4,4,5,5,5,200000,900,40,255195,899,155,55195,1,115,"es neutra, pero soy catolica y asisto a eventos tradicionales, aun así intento separar lo profesional de lo religioso","no tengo una netamente, pero me siento más de Derecha",10,50,24,primer lugar,7,Julio,81,200000,900,40,00243,2/11/2023 14:01:44
242,244,1 UN,22,15,3 AR,2 MA,1 ST,6 AT,1 LW,4 EU,6 PG,1,1,1,1,2,1,1,2,3,2,2,4,3,2,3,3,2,3,2,4,3,2,1,1,1,2,1,1,0,0,0,0,3,1,3,4,4,4,3,0,0,0,1,1,1,0,3,2,1,2,3,3,4,4,2,2,1,2,1,4,3,4,5,50,850,110,255195,899,155,255145,49,45,"diría que soy ateo, sin embargo, la idea de un Dios y su existencia me parece irrelevante. una postura más absurdista diria yo",anarquismo,10 pesos,20 minutos,24 horas,segundo,8,emilio,27,50,850,110,00244,2/11/2023 13:50:56
243,245,1 UN,21,15,3 AR,1 FE,1 ST,5 AG,1 LW,4 EU,2 EM,2,1,2,3,3,2,2,1,4,4,3,4,4,3,2,2,2,2,1,3,1,1,1,1,3,2,1,0,0,0,1,0,3,4,3,3,4,3,1,0,1,0,0,1,0,0,2,2,1,2,2,1,1,3,1,2,2,4,3,4,4,5,5,250000,800,61,255195,899,155,5195,99,94,agnostica,izquierda,10,5 minutos,24 horas,primero,8,Julio,9 metros cubicos,250000,800,61,00245,2/11/2023 13:58:42
244,246,1 UN,22,15,3 AR,2 MA,1 ST,2 CR,3 RW,4 EU,4 EU,2,2,1,2,2,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,2,1,2,1,1,0,0,0,0,3,3,3,3,4,3,1,0,0,0,0,1,0,0,1,2,1,1,2,4,3,3,3,2,2,1,1,4,2,3,4,NR,800,40,255195,899,155,-88,99,115,Soy cristiano protestante ,"Me considero de derecho, aunque estoy de acuerdo con algunas ideas del anarquismo ",10,100,24,primer lugar ,8,julio ,9 metros cúbicos ,no se ,800,40,00246,2/11/2023 13:55:36
245,247,1 UN,18,15,3 AR,2 MA,1 ST,3 OT,5 NO,4 EU,3 ET,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,5,5,1,1,2,3,3,1,0,0,0,1,0,3,1,3,4,4,4,1,0,0,0,1,1,1,0,3,3,1,4,1,5,5,5,2,4,2,4,1,4,5,5,5,815435,879,38,255195,899,155,560240,20,117,"TODO TIENE UN COMIENZO, TODO DERIVA DE ALGO",ESTA LLENO DE GENTE QUE NO SABE QUE ESTAN SIENDO MANIPULADOS,10,500,24,2,8,EMILIO,3,815435,879,38,00247,2/11/2023 14:34:56
